Time /min	% anatase
0	100
10	67.32883986
20	52.85669022
30	41.73025403
40	32.99057158
50	32.24832307
60	27.28190171
70	26.17102332
80	22.0870015
90	21.1756221
100	18.42276486
110	17.73579216
120	16.17894412
130	15.31223273
140	15.01785728
150	13.88274277
160	13.1876562
170	12.21802934
180	11.92342257
190	11.09187097
200	10.88745148
210	10.20967824
220	9.812465092
230	9.744565697
240	9.37531091
250	9.089899154
260	8.549072226
270	8.473636531
280	7.99548206
290	7.694431162
300	7.561942083
310	7.362119123
320	7.102845064
330	6.877387016
340	6.641715122
350	6.461596045
360	6.364337405
370	6.226862293
380	6.126712734
390	6.004382408
400	5.736236476
410	5.729654507
420	5.577107134
430	5.432538562
440	5.335070071
450	5.156577544
460	5.077844477
470	4.952543663
480	4.878825754
490	4.853984533
500	4.718751408
510	4.636397884
520	4.554307732
530	4.495785977
540	4.378330226
550	4.330147478
560	4.210219994
570	4.14329238
580	4.077559015
590	3.986855468
600	3.98942891
